city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,umpire1,
Mumbai,14-05-2015,HH Pandya,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,5,N,RK Illingworth,
Hyderabad,15-05-2015,V Kohli,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,wickets,6,N,AK Chaudhary,
Chandigarh,16-05-2015,P Negi,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,7,N,CK Nandan,
Mumbai,16-05-2015,SR Watson,Brabourne Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,9,N,RM Deshpande,
Bangalore,17-05-2015,NA,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,NA,NA,NA,NA,HDPK Dharmasena,
Hyderabad,17-05-2015,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,wickets,9,N,CB Gaffaney,
Mumbai,19-05-2015,KA Pollard,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,25,N,HDPK Dharmasena,
Pune,20-05-2015,AB de Villiers,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,71,N,AK Chaudhary,
Ranchi,22-05-2015,A Nehra,JSCA International Stadium Complex,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,3,N,AK Chaudhary,
Kolkata,24-05-2015,RG Sharma,Eden Gardens,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,41,N,HDPK Dharmasena,
Mumbai,09-04-2016,AM Rahane,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiantss,Mumbai Indians,bat,Rising Pune Supergiantss,wickets,9,N,HDPK Dharmasena,
Kolkata,10-04-2016,AD Russell,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9,N,S Ravi,
Chandigarh,11-04-2016,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5,N,AK Chaudhary,
Bangalore,12-04-2016,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,45,N,HDPK Dharmasena,
Kolkata,13-04-2016,RG Sharma,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,N,Nitin Menon,
Rajkot,14-04-2016,AJ Finch,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiantss,Rising Pune Supergiantss,bat,Gujarat Lions,wickets,7,N,VA Kulkarni,
Delhi,15-04-2016,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,wickets,8,N,S Ravi,
Hyderabad,16-04-2016,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,8,N,AK Chaudhary,
Mumbai,16-04-2016,AJ Finch,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3,N,HDPK Dharmasena,
Chandigarh,17-04-2016,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Rising Pune Supergiantss,Rising Pune Supergiantss,bat,Kings XI Punjab,wickets,6,N,S Ravi,
Bangalore,17-04-2016,Q de Kock,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,7,N,VA Kulkarni,
Hyderabad,18-04-2016,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7,N,HDPK Dharmasena,
Chandigarh,19-04-2016,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,N,S Ravi,
Mumbai,20-04-2016,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,6,N,AK Chaudhary,
Rajkot,21-04-2016,B Kumar,Saurashtra Cricket Association Stadium,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10,N,K Bharatan,
Pune,22-04-2016,AB de Villiers,Maharashtra Cricket Association Stadium,Rising Pune Supergiantss,Royal Challengers Bangalore,Rising Pune Supergiantss,field,Royal Challengers Bangalore,runs,13,N,CB Gaffaney,
Delhi,23-04-2016,SV Samson,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,runs,10,N,S Ravi,
Hyderabad,23-04-2016,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,N,AK Chaudhary,
Rajkot,24-04-2016,V Kohli,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Gujarat Lions,wickets,6,N,K Bharatan,
Pune,24-04-2016,SA Yadav,Maharashtra Cricket Association Stadium,Rising Pune Supergiantss,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,2,N,CB Gaffaney,
Chandigarh,25-04-2016,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,runs,25,N,Nitin Menon,
Hyderabad,26-04-2016,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiantss,Rising Pune Supergiantss,field,Rising Pune Supergiantss,runs,34,N,AY Dandekar,
Delhi,27-04-2016,CH Morris,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,Gujarat Lions,runs,1,N,M Erasmus,
Mumbai,28-04-2016,RG Sharma,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6,N,Nitin Menon,
Pune,29-04-2016,DR Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiantss,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3,N,CB Gaffaney,
Delhi,30-04-2016,CR Brathwaite,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,runs,27,N,KN Ananthapadmanabhan,
Hyderabad,30-04-2016,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,15,N,AK Chaudhary,
Rajkot,01-05-2016,AR Patel,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,23,N,BNJ Oxenford,
Pune,01-05-2016,RG Sharma,Maharashtra Cricket Association Stadium,Rising Pune Supergiantss,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,N,AY Dandekar,
Bangalore,02-05-2016,AD Russell,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5,N,M Erasmus,
Rajkot,03-05-2016,RR Pant,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,8,N,CB Gaffaney,
Kolkata,04-05-2016,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,7,N,AK Chaudhary,
Delhi,05-05-2016,AM Rahane,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiantss,Rising Pune Supergiantss,field,Rising Pune Supergiantss,wickets,7,N,C Shamshuddin,
Hyderabad,06-05-2016,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,N,M Erasmus,
Bangalore,07-05-2016,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiantss,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7,N,CB Gaffaney,
Chandigarh,07-05-2016,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,runs,9,N,HDPK Dharmasena,
Visakhapatnam,08-05-2016,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,runs,85,N,S Ravi,
Kolkata,08-05-2016,P Kumar,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5,N,M Erasmus,
Chandigarh,09-05-2016,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore,runs,1,N,AK Chaudhary,
Visakhapatnam,10-05-2016,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiantss,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,4,N,CB Gaffaney,
Bangalore,11-05-2016,KH Pandya,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,N,AY Dandekar,
Hyderabad,12-05-2016,CH Morris,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,7,N,K Bharatan,
Visakhapatnam,13-05-2016,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,wickets,7,N,HDPK Dharmasena,
Bangalore,14-05-2016,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,runs,144,N,AY Dandekar,
Kolkata,14-05-2016,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiantss,Rising Pune Supergiantss,bat,Kolkata Knight Riders,wickets,8,N,A Nand Kishore,
Chandigarh,15-05-2016,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,wickets,7,N,KN Ananthapadmanabhan,
Visakhapatnam,15-05-2016,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,80,N,Nitin Menon,
Kolkata,16-05-2016,V Kohli,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9,N,CB Gaffaney,
Visakhapatnam,17-05-2016,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiantss,Delhi Daredevils,Rising Pune Supergiantss,field,Rising Pune Supergiantss,runs,19,N,Nitin Menon,
Bangalore,18-05-2016,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,82,N,KN Ananthapadmanabhan,
Kanpur,19-05-2016,DR Smith,Green Park,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,wickets,6,N,AK Chaudhary,
Raipur,20-05-2016,KK Nair,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,Delhi Daredevils,wickets,6,N,A Nand Kishore,
Visakhapatnam,21-05-2016,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiantss,Kings XI Punjab,Kings XI Punjab,bat,Rising Pune Supergiantss,wickets,4,N,HDPK Dharmasena,
Kanpur,21-05-2016,SK Raina,Green Park,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,Gujarat Lions,wickets,6,N,AK Chaudhary,
Kolkata,22-05-2016,YK Pathan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,22,N,KN Ananthapadmanabhan,
Raipur,22-05-2016,V Kohli,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6,N,A Nand Kishore,
Bangalore,24-05-2016,AB de Villiers,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,N,AK Chaudhary,
Delhi,25-05-2016,MC Henriques,Feroz Shah Kotla,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,22,N,M Erasmus,
Delhi,27-05-2016,DA Warner,Feroz Shah Kotla,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4,N,M Erasmus,
Bangalore,29-05-2016,BCJ Cutting,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,8,N,HDPK Dharmasena,
Hyderabad,05-04-2017,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,35,N,AY Dandekar,
Pune,06-04-2017,SPD Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,field,Rising Pune Supergiants,wickets,7,N,A Nand Kishore,
Rajkot,07-04-2017,CA Lynn,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10,N,Nitin Menon,
Indore,08-04-2017,GJ Maxwell,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,AK Chaudhary,
Bengaluru,08-04-2017,KM Jadhav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,15,N,S Ravi,
Hyderabad,09-04-2017,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,N,A Deshmukh,
Mumbai,09-04-2017,N Rana,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4,N,Nitin Menon,
Indore,10-04-2017,AR Patel,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8,N,AK Chaudhary,
Pune,11-04-2017,SV Samson,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,field,Delhi Daredevils,runs,97,N,AY Dandekar,
Mumbai,12-04-2017,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4,N,Nitin Menon,
Kolkata,13-04-2017,SP Narine,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,N,A Deshmukh,
Bangalore,14-04-2017,KA Pollard,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,N,KN Ananthapadmanabhan,
Rajkot,14-04-2017,AJ Tye,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,field,Gujarat Lions,wickets,7,N,A Nand Kishore,
Kolkata,15-04-2017,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,17,N,AY Dandekar,
Delhi,15-04-2017,CJ Anderson,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,runs,51,N,YC Barde,
Mumbai,16-04-2017,N Rana,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6,N,A Nand Kishore,
Bangalore,16-04-2017,BA Stokes,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,field,Rising Pune Supergiants,runs,27,N,KN Ananthapadmanabhan,
Delhi,17-04-2017,NM Coulter-Nile,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,wickets,4,N,Nitin Menon,
Hyderabad,17-04-2017,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,5,N,AY Dandekar,
Rajkot,18-04-2017,CH Gayle,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,runs,21,N,S Ravi,
Hyderabad,19-04-2017,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15,N,CB Gaffaney,
Indore,20-04-2017,JC Buttler,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,N,M Erasmus,
Kolkata,21-04-2017,SK Raina,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,4,N,CB Gaffaney,
Mumbai,22-04-2017,MJ McClenaghan,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,14,N,A Nand Kishore,
Pune,22-04-2017,MS Dhoni,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,field,Rising Pune Supergiants,wickets,6,N,AY Dandekar,
Rajkot,23-04-2017,HM Amla,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,26,N,AK Chaudhary,
Kolkata,23-04-2017,NM Coulter-Nile,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,82,N,CB Gaffaney,
Mumbai,24-04-2017,BA Stokes,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,field,Rising Pune Supergiants,runs,3,N,A Nand Kishore,
Pune,26-04-2017,RV Uthappa,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,N,AY Dandekar,
Bangalore,27-04-2017,AJ Tye,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,7,N,AK Chaudhary,
Kolkata,28-04-2017,G Gambhir,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,N,NJ Llong,
Chandigarh,28-04-2017,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,runs,26,N,Nitin Menon,
Pune,29-04-2017,LH Ferguson,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiants,runs,61,N,KN Ananthapadmanabhan,
Rajkot,29-04-2017,KH Pandya,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,tie,NA,Y,AK Chaudhary,
Chandigarh,30-04-2017,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,wickets,10,N,YC Barde,
Hyderabad,30-04-2017,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,48,N,AY Dandekar,
Mumbai,01-05-2017,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,wickets,5,N,AK Chaudhary,
Pune,01-05-2017,BA Stokes,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,field,Rising Pune Supergiants,wickets,5,N,M Erasmus,
Delhi,02-05-2017,Mohammed Shami,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,Delhi Daredevils,wickets,6,N,YC Barde,
Kolkata,03-05-2017,RA Tripathi,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,wickets,4,N,KN Ananthapadmanabhan,
Delhi,04-05-2017,RR Pant,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,Delhi Daredevils,wickets,7,N,M Erasmus,
Bangalore,05-05-2017,Sandeep Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,runs,19,N,CB Gaffaney,
Hyderabad,06-05-2017,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,field,Rising Pune Supergiants,runs,12,N,KN Ananthapadmanabhan,
Delhi,06-05-2017,LMP Simmons,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians,runs,146,N,Nitin Menon,
Bangalore,07-05-2017,SP Narine,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,N,AY Dandekar,
Chandigarh,07-05-2017,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,6,N,A Nand Kishore,
Hyderabad,08-05-2017,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,wickets,7,N,KN Ananthapadmanabhan,
Chandigarh,09-05-2017,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,runs,14,N,A Nand Kishore,
Kanpur,10-05-2017,SS Iyer,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,2,N,YC Barde,
Mumbai,11-05-2017,WP Saha,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,7,N,A Deshmukh,
Delhi,12-05-2017,KK Nair,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiants,Delhi Daredevils,bat,Delhi Daredevils,runs,7,N,KN Ananthapadmanabhan,
Kanpur,13-05-2017,Mohammed Siraj,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,N,AK Chaudhary,
Kolkata,13-05-2017,AT Rayudu,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,9,N,A Nand Kishore,
Pune,14-05-2017,JD Unadkat,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,field,Rising Pune Supergiants,wickets,9,N,AY Dandekar,
Delhi,14-05-2017,HV Patel,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,10,N,CK Nandan,
Mumbai,16-05-2017,Washington Sundar,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,field,Rising Pune Supergiants,runs,20,N,S Ravi,
Bangalore,17-05-2017,NM Coulter-Nile,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,N,AK Chaudhary,
Bangalore,19-05-2017,KV Sharma,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6,N,NJ Llong,
Hyderabad,21-05-2017,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai Indians,runs,1,N,NJ Llong,
Mumbai,07-04-2018,DJ Bravo,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,1,N,CB Gaffaney,
Chandigarh,08-04-2018,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,KN Ananthapadmanabhan,
Kolkata,08-04-2018,SP Narine,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4,N,C Shamshuddin,
Hyderabad,09-04-2018,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,N,VA Kulkarni,
Chennai,10-04-2018,SW Billings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,5,N,CB Gaffaney,
Jaipur,11-04-2018,SV Samson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,runs,10,N,KN Ananthapadmanabhan,
Hyderabad,12-04-2018,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,1,N,NJ Llong,
Bengaluru,13-04-2018,UT Yadav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,N,A Deshmukh,
Mumbai,14-04-2018,JJ Roy,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,7,N,KN Ananthapadmanabhan,
Kolkata,14-04-2018,B Stanlake,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,N,AK Chaudhary,
